iter	Passed	Remaining
1310	636636	137428
1311	636725	136857
1312	636852	136295
1313	636941	135725
1314	637059	135163
1315	637138	134593
1316	637230	134026
1317	637292	133454
1318	637372	132886
1319	637454	132320
1320	637552	131757
1321	637639	131193
1322	637718	130628
1323	637837	130072
1324	637913	129508
1325	637978	128942
1326	638058	128380
1327	638135	127819
609136	191224
1357	609282	190681
1358	609501	190160
1359	609669	189625
1360	609865	189098
1361	610011	188557
1362	610168	188019
1363	610318	187480
1364	610495	186950
1365	610619	186404
1366	610792	185873
1367	611017	185359
1368	611203	184834
1369	611366	184302
1370	611541	183774
1371	611710	183245
1372	611886	182719
1373	612024	182181
1374	612194	181654
1375	612374	181131
1376	612532	180601
1377	612703	180076
1378	612904	179560
1379	613086	179039
1380	613248	178512
1381	613403	177984
1382	613572	177461
1383	613728	176934
1384	613927	176420
1385	614121	175906
1386	614306	175389
1387	614438	174858
1388	614639	174347
1389	614786	173820
1390	614940	173297
1391	615089	172772
1392	615261	172255
1393	615418	171734
1394	615595	171219
1395	615770	170704
1396	615936	170187
1397	616105	169671
1398	616252	169150
1399	616408	168631
1400	616543	168108
1401	616734	167600
1402	616893	167084
1403	617015	166558
1404	617174	166044
1405	617324	165527
1406	617490	165015
1407	617662	164505
1408	617789	163983
1409	617941	163469
1410	618101	162957
1411	618265	162448
1412	618400	161930
1413	618577	161425
1414	618713	160909
1415	618935	160416
1416	619079	159903
1417	619209	159387
1418	619332	158870
1419	619494	158363
1420	619631	157851
1421	619772	157340
1422	619866	156817
1423	619991	156303
1424	620131	155794
1425	620266	155284
1426	620380	154769
1427	620514	154259
1428	620628	153745
1429	620752	153234
1430	620890	152727
1431	621008	152216
1432	621102	151699
1433	621256	151198
1434	621400	150695
1435	621531	150188
1436	621663	149683
1437	621789	149177
1438	621916	148672
1439	622046	148168
1440	622219	147674
1441	622331	147167
1442	622475	146667
1443	622594	146163
1444	622725	145661
1445	622840	145157
1446	622997	144662
1447	623163	144171
1448	623280	143668
1449	623419	143171
1450	623533	142669
1451	623665	142171
1452	623809	141677
1453	623915	141174
1454	624063	140682
1455	624156	140177
1456	624289	139683
1457	624416	139187
1458	624581	138700
1459	624717	138208
1460	624912	137728
1461	625021	137231
1462	625180	136744
1463	625332	136257
1464	625474	135768
1465	625620	135280
1466	625805	134802
1467	625936	134312
1468	626061	133821
1469	626208	133335
1470	626316	132842
1471	626444	132353
1472	626552	131861
1473	626708	131379
1474	626852	130895
1475	626954	130403
1476	627062	129912
1477	627227	129434
1478	627366	128951
1479	627505	128469
1480	627588	127975
1481	627748	127498
1482	627901	127019
1483	628048	126540
1484	628227	126068
1485	628365	125588
1486	628546	125117
1487	628707	124642
1488	628840	124163
